genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	reads_unfiltered_reads	divergent_site_count
M5_3.1.filtered.fa	8.66967737817333	0.667311059235483	0.0135307623863367	219328.0	1.0	1.0	3	9.711052896978536	0.0207452356898085	0.4732273125182375	0.9995264841278192	0.0	0.9892958994912904	0.9955969631570832		False	1374.0	21.95778748180495	0.4092224190253046	0.9920529172070108	1111.0	457.0	442.0	3482.0	8367	10003	0.9679091313283876	20210	3924.0
M5_3.10.filtered.fa	1.1007384227191768	0.4429886948347516	0.0086194699931965	323392.0	20.0	20.0	0	1.9475287725751007	0.0034460577050337	0.0552641994854541	0.6216562205599026	0.0	0.9955796777081468	0.9980975828111012		False	3.0	14.0	0.034173976608187	1.0	79.0	34.0	32.0	220.0	1579	2368	0.871572033483696	5311	252.0
M5_3.100.filtered.fa	0.7942922447404885	0.3378390427147978	0.0231733962840357	8916465.0	367.0	359.0	0	1.765868731119144	0.0005938230241012	0.0344125166195347	0.5040896190276101	0.0004545224052067	0.9809834505504532	0.990868145405719		False	1820.0	27.352197802197804	0.2354609933043776	0.9590217898769736	5835.0	2802.0	2678.0	10530.0	31366	112549	0.8929046216331327	232039	13208.0
M5_3.101.filtered.fa	0.5578757794576972	0.2904610902219433	0.0102965661501561	1972846.0	91.0	90.0	0	1.275747383349391	0.0009124955176115	0.0171838045138849	0.3889670011072494	0.0	0.985811627975576	0.9908262293147696		False	26.0	29.07692307692308	0.1605389468209576	0.9343171296296297	481.0	311.0	304.0	540.0	4911	7964	0.953486482605007	16700	844.0
M5_3.102.filtered.fa	0.2522593563910151	0.124667770991198	0.0138841187237368	3515271.0	22.0	21.0	0	0.9296774604892604	0.0004961636313864	0.0111118033289609	0.1996811047612724	0.0	0.9854074396456824	0.9929597296536188		False					570.0	275.0	269.0	839.0	3926	8238	0.8704728692059724	17034	1108.0
M5_3.103.filtered.fa	0.1708612410910582	0.1039164178450111	0.018676183232751	2189654.0	103.0	100.0	0	0.6532228512446548	0.0004435333563944	0.0028949779280196	0.1400409231142914	0.0	0.9731818898879948	0.9802808013882316		False	4.0	31.25	0.4499173233886855	1.0	170.0	125.0	119.0	163.0	1667	9120	0.8645221457304381	18782	282.0
M5_3.104.filtered.fa	0.1983170195706109	0.1351131453619435	0.0035454499212516	3387324.0	81.0	81.0	0	0.6064190258582116	0.000330282466456	0.0020257879080949	0.1606386116782923	0.0	0.9938793354707082	0.9951909064412708		False					42.0	33.0	33.0	25.0	2982	4355	0.9405620062981388	8871	58.0
M5_3.105.filtered.fa	22.390640255325437	0.764604499919322	0.0316331205475314	1828255.0	116.0	116.0	18	23.0040044080902	0.0171221517878284	0.689535103144802	0.9999999974082572	0.0292519957086509	0.9844762129892136	0.9963241068468072		False	645288.0	47.03749178661311	0.1573856757909515	0.9432228324527888	19570.0	4634.0	4272.0	113767.0	183488	311520	0.9141417653056249	660921	118039.0
M5_3.106.filtered.fa	1.4534603169528302	0.4099199790320849	0.0196903368920874	69561518.0	3641.0	3596.0	0	3.540602888779945	0.0004267542650867	0.0900555677925257	0.7229079340231407	0.0019923102882907	0.9846408324369988	0.9934946703611932		False	113396.0	52.63623937352288	0.197594348240939	0.9515413405475852	96216.0	40752.0	39100.0	211183.0	455328	957484	0.8937070878853446	2094658	250283.0
M5_3.107.filtered.fa	0.0187469137322931	0.0121245602984867	0.000794044647264	852567.0	69.0	22.0	0	0.2049279512416487	0.0002237591426758	0.0004726901228877	0.0164172681124913	0.0	0.9826302729528535	0.9826302729528535		False					7.0	7.0	7.0	0.0	69	556	0.8724420578687386	1155	7.0
M5_3.108.filtered.fa	0.3661669360174179	0.2252557739435977	0.0100538649396092	5185927.0	77.0	76.0	0	0.8887685751435184	0.0003908600897103	0.0055334369342259	0.276261691658678	0.0	0.9851547253972678	0.9900683022023976		False	28.0	16.285714285714285	0.5472644927084408	1.0	426.0	285.0	282.0	392.0	8342	15422	0.854496760666752	31870	674.0
