genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	reads_unfiltered_reads	divergent_site_count
M5_3.1.filtered.fa	10.010627918004085	0.7322503282754595	0.0148511656198967	219328.0	1.0	1.0	5	10.721926613349504	0.0229047145559233	0.5013131018383425	0.9998550880804646	0.0176307685100115	0.9898228317811408	0.9965985157159488		False	3035.0	26.19176276771005	0.4074077356419806	0.9927491060712852	1119.0	374.0	361.0	4194.0	10083	12067	0.9670430139159272	24372	4555.0
M5_3.10.filtered.fa	3.0661642835939045	0.7056853601820701	0.0099952280680206	323392.0	20.0	20.0	2	5.027646505510146	0.0088961766431776	0.1949708094201464	0.933291510974575	0.0013123432613246	0.9943697265748904	0.9979699295819324		False	661.0	33.296520423600604	0.2584810063281538	0.9665888556923612	355.0	128.0	125.0	1229.0	4681	6310	0.9069262042060008	14089	1354.0
M5_3.100.filtered.fa	1.280454305602052	0.4276266435184795	0.025101569384868	8916465.0	367.0	362.0	0	2.5136380568748917	0.0008452814901385	0.0776373820791086	0.6771737905652473	0.0021348457249554	0.9804276194617272	0.9912416161190089		False	5647.0	34.04763591287409	0.1837089042502199	0.9519053734892792	13549.0	6063.0	5756.0	26691.0	53054	188173	0.8933210690102317	386154	32447.0
M5_3.101.filtered.fa	0.901734347232374	0.4022376809948673	0.0083256639064626	1972846.0	91.0	90.0	0	1.748299362715756	0.0012504946925564	0.0352587074713383	0.5489745128760111	0.0	0.9899798734905118	0.9944220816561242		False	242.0	25.15702479338843	0.3253125392537452	0.942358335361263	697.0	388.0	380.0	981.0	8476	12566	0.9508988269737138	26080	1361.0
M5_3.102.filtered.fa	0.2261953630317548	0.0895421718553135	0.0123189904544381	3515271.0	22.0	22.0	0	1.0262647973537231	0.0005477117497837	0.0132888758789862	0.1810485738000283	0.0	0.9854219291861112	0.9921436828359806		False					681.0	367.0	361.0	863.0	3655	8987	0.8891508393034091	18626	1224.0
M5_3.103.filtered.fa	0.2490023537965359	0.1348176469889763	0.0164719350167306	2189654.0	103.0	103.0	0	0.8914308796932995	0.0006052747991144	0.007419437043478	0.1973761281162683	0.0	0.9747630185891912	0.9834420780499814		False	9.0	5.666666666666667	0.3594943240454075	0.911111111111111	410.0	269.0	265.0	419.0	2561	13069	0.8949886687508488	26754	684.0
M5_3.104.filtered.fa	0.2731436378687129	0.1762834024734569	0.0041166619503792	3387324.0	81.0	80.0	0	0.7290864070328918	0.000397092516076	0.0036255758232752	0.2143043947517197	0.0	0.9920201937952936	0.994218711831284		False	22.0	30.13636363636364	0.3516408393925453	1.0	98.0	71.0	69.0	75.0	4307	6381	0.9471861984822284	13000	144.0
M5_3.105.filtered.fa	19.71530557826999	0.7640203363316387	0.0311373656917029	1828255.0	116.0	116.0	16	20.33433058935081	0.0151350820786793	0.6816215462285075	0.9999999724872092	0.0278724604004335	0.9847076420864436	0.996438711002762		False	538406.0	43.690246765452095	0.1638897446161628	0.9474944866078572	19057.0	4438.0	4108.0	107421.0	171155	287789	0.914859051386822	601445	111529.0
M5_3.106.filtered.fa	4.77828514323106	0.570424282575317	0.0155121855837691	69561518.0	3641.0	3620.0	1	7.984663343982021	0.0009624036482951	0.325489432246145	0.985289971125775	0.0075719491551582	0.9903036184951916	0.9963834613892634		False	808022.0	38.81428352198331	0.230890592468446	0.9630381880887584	219541.0	81884.0	78899.0	719375.0	1577745	2501117	0.9040929045725796	5362201	798274.0
M5_3.107.filtered.fa	0.0194483248823846	0.0116729828858025	0.0033922260725877	852567.0	69.0	21.0	0	0.2154786272105786	0.0002352793388967	0.0003319387215315	0.0170262575808618	0.0	0.9858657243816252	0.9858657243816252		False					4.0	4.0	4.0	0.0	80	733	0.8701670403952886	1506	4.0
