genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
M5_3.1.filtered.fa	5.656591953603735	0.9123686898161656	0.0113094539744916	219328	1	1	5	4.466885060819696	0.0095423827229713	0.548064998540998	0.993226725933698	0.0	0.991589438131208	0.995948621533035		False	475.0	26.492631578947368	0.208663626088166	0.9650920164362988	1011	487	481	2257	5690	7045	0.9620212232193444	2738	14319
M5_3.10.filtered.fa	1.1678860330496734	0.4530013111023154	0.0116189751082308	323392	20	20	0	2.1764417957809856	0.0038511081969749	0.0589655897486641	0.6434366543244263	0.0	0.9936021815512088	0.9976401489328228		False	44.0	31.704545454545453	0.3059426213630667	1.0	122	45	45	329	1798	3249	0.9156448077661908	374	7143
M5_3.100.filtered.fa	1.591747289985437	0.5181963928529972	0.0236823369545308	8916465	367	366	1	2.673286821005578	0.0008989678770366	0.0999314190096635	0.7547587495105699	0.0017110831741798	0.9822464886340044	0.992241606670894		False	7670.0	43.56649282920469	0.131540371559044	0.9339781768975874	15819	6913	6577	31560	65091	178862	0.9030485945913468	38137	369230
M5_3.101.filtered.fa	5.218949172920745	0.8573010767186086	0.0071210885614009	1972846	91	91	5	4.299018394105099	0.0030749308726397	0.5072377671647964	0.9900315694005314	0.0	0.9951564002070546	0.998214253593977		False	982.0	22.432790224032587	0.3320603677749322	0.9724160115019296	4847	1787	1738	11990	48368	63610	0.946814083158446	13728	130855
M5_3.102.filtered.fa	8.214697814194126	0.9542137718542896	0.0032852567647137	3515271	22	22	8	5.434278779646195	0.0029002440178084	0.7560885064053383	0.9992923621949328	0.0017250038926736	0.9976161236726144	0.99874936791158		False	3535.0	26.95954738330976	0.3377105034177812	0.976327535492721	6336	3324	3295	14877	132521	147037	0.9552428212614054	18172	297701
M5_3.103.filtered.fa	0.6318331572020054	0.2922740305089297	0.0196183744938628	2189654	103	103	0	1.4637541497927715	0.0009938779541421	0.0234913826568032	0.4275951039611156	0.0	0.9779734826392938	0.9871690190131808		False	126.0	22.55555555555556	0.370079052034003	0.9952400806059342	1133	660	642	1451	6398	34030	0.8948907384341015	2093	69651
M5_3.104.filtered.fa	3.337722343655346	0.8198740362598913	0.0032760162101039	3387324	81	81	3	2.976554220126593	0.0016211623109487	0.2896478163883939	0.9475140009360652	0.0	0.9960249956427836	0.9976883820814958		False	140.0	21.685714285714287	0.4396253438274762	0.989386103319308	3900	2268	2254	4652	51958	60190	0.9493899971914698	6906	122317
M5_3.105.filtered.fa	1.2688645730491643	0.4832296370035908	0.0189745698389237	1828255	116	116	0	2.148751398690262	0.0015993410082004	0.0647568309672337	0.6738531105632921	0.0002233775939814	0.982895803770525	0.9917224136765996		False	417.0	31.848920863309356	0.3010994537531378	0.9779875263913824	2025	980	954	3357	11029	19833	0.9076751695716786	4311	41344
M5_3.106.filtered.fa	6.77106720126493	0.7622440326848532	0.0174627384204501	69561518	3641	3641	4	8.668317657051851	0.0010448055451224	0.4808569157447082	0.9974682698057143	0.0082097701799044	0.992076985424168	0.9977660709153722		False	1134677.0	38.90924377598206	0.2126088934738164	0.9497451888635676	265018	74723	71934	1153631	2234436	3171924	0.9219658112884396	1225565	6772029
M5_3.107.filtered.fa	0.3857268695598117	0.2116244236523346	0.0102362726218693	852567	69	68	0	0.9632226760040156	0.0010517349091847	0.0086092940496171	0.2886543534034032	0.0	0.9779291553133516	0.9829700272479563		False					162	125	123	95	1538	8576	0.8893677116857748	218	17633
